name,category,address,phone,website,base_name,base_category,base_address,base_phone,base_website,label
BP,gas_station,Avenida Carlos Cano,+34956621050,https://map.bp.com/es-ES/ES/estacion-de-servicio/los-barrios/e-s-bp-la-montera/1023746243,BP,car_wash,"Av. Carlos Cano, Glorieta La Montera",956621050,https://www.bp.com/es_es/on-the-road/spain.html,1
Northwest Medical Center,hospital,609 W Maple Ave,+14797515711,http://www.northwesthealth.com/,Northwest Medical Center - Emergency Room,emergency_room,609 W Maple Ave,4797571000,https://www.northwesthealth.com/emergency-department?utm_source=Bing&utm_campaign=biz-listings&utm_medium=homepage,0
Manhattan Hardware & Housewares,hardware_store,688 9th Ave,+12127574555,https://twitter.com/#!/9thAveHardware,Manhattan Jazz,dance_club,445 W 45th St,+12125814269,,0
UofL Physicians – Plastic & Reconstructive Surgery,plastic_surgeon,401 E Chestnut St Unit 790,5025838303,https://uoflhealth.org/locations/ulp-plastic-surgery/,UofL Physicians – Neurology,health_and_medical,401 E Chestnut St Unit 510,5025884800,https://uoflhealth.org/locations/neurology-401-e-chestnut-st/,0
Pousada da Taiba,hotel,"Avenida Capitão Inácio Prata, Sn",,http://pousadadataiba.com.br/,Pousada Taiba Inn,hotel,"Rua Capitão Inácio Prata, S/N",+18533156140,http://www.pousadataibainn.com.br,1
Steve & Lori Robinson Realtors,real_estate_agent,825 E 1180 S,+18014205260,https://www.amazon.com/dp/B0DF25FXDK,Steve & Lori Robinson Realtors - BHHS Elite Real Estate,real_estate_agent,825 E 1180 S Ste 300,8014205260,https://stevelorirobinsonrealtors.com/,1
Milas Barlar Sokağı,adult_entertainment,,,,Milas Pazarı,farmers_market,,+905335465340,http://www.milaspazari.com.tr/,0
Cafetería Romo,cafe,"Calle Milicias, 4",+34941261490,,Cafetería Villarreal,coffee_shop,"Parque del Carmen, 6",+34941244211,,0
Alliance Hospital Amravati,hospital,"Alliance hospital, Vijay Colony Rd, near porwal paint house",+917212993929,http://alliancehospitalamravati.in/,Alliance Hospital Amravati,hospital,"Alliance Hospital, Vijay Colony Road Near Porwal Paint House, Rukhmini Nagar",09209193400,https://alliancehospitalamravati.com/,1
St. Joseph Hospital - Orange Kidney Transplant Center,doctor,1100 W Stewart Dr,+17147718033,https://www.providence.org/locations/socal/st-joseph-hospital-orange/kidney-transplant-center?Is=location&y_source=1_MTQwNjAxMjAtNDQwLWxvY2F0aW9uLndlYnNpdGU=,St. Joseph Hospital - Orange Cancer Research Center,cancer_treatment_center,"1000 W La Veta Dr, 1st Floor",7147346220,https://www.providence.org/locations/st-joseph-hospital-orange/cancer-research-program?ls=location&y_source=1_MTUzMjM1ODgtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,0
Redbox,clothing_rental,275 Rainier Ave S,8667332693,,Redbox,clothing_rental,275 Rainier Ave S,8667332693,https://www.redbox.com/locations/washington/renton/98057/22767,1
Love & Co,automotive_repair,4084 NC 42 Hwy W,+19195535739,http://www.loveandcompanycollision.com/,Love & Company Paint & Collision,auto_glass_service,4084 N Carolina 42,9195535739,http://www.loveandcompany4042.com/,1
Little Sister Getaways,holiday_rental_home,133 Bow Valley Trl,+14036883400,http://www.littlesistergetaways.com/,LITTLE SISTER GETAWAYS - formerly Fenwick Vacation Rentals,vacation_rental_agents,133B - 306 Bow Valley Trail,4036883400,http://www.littlesistergetaways.com/,1
CHI Saint Joseph Health Outpatient Rehabilitation,hospital,160 N Eagle Creek Dr,+18599675737,https://www.chisaintjosephhealth.org/otptspeech?utm_source=LocalSearch&utm_medium=Facility&utm_campaign=CHIStJoseph&utm_term=CHISaintJosephHealth-OutpatientRehabilitationNEagleCreekDr&y_source=1_MTczMjIzMTQtNTU5LWxvY2F0aW9uLndlYnNpdGU%3D,CHI Saint Joseph Health - Saint Joseph East,hospital,150 N Eagle Creek Dr,8599675000,https://www.chisaintjosephhealth.org/saint-joseph-east-lexington,0
Atrium Health Wake Forest Baptist Pediatric Endocrinology - Ardmore Tower,medical_center,1 Medical Center Blvd 7th Floor,3367134500,https://www.wakehealth.edu/locations/clinics/p/pediatric-endocrinology-ardmore-tower,Atrium Health Wake Forest Baptist Internal Medicine - Janeway Tower,medical_center,1 Medical Center Blvd 7th Floor,3367162011,https://www.wakehealth.edu/locations/clinics/i/internal-medicine-janeway-tower?utm_source=GMB&utm_medium=Organic&utm_campaign=AHWFB,0
